Identifikator;Bezeichnung;Anteil Einpersonenhaushalte 2024;Ständige Wohnbevölkerung 2024
1;Zürich;37.2;1620020
10;Freiburg;33.8;346674
11;Solothurn;36.3;289792
12;Basel-Stadt;47.8;201384
13;Basel-Landschaft;35.2;301323
14;Schaffhausen;38.7;88667
15;Appenzell Ausserrhoden;35.8;56705
16;Appenzell Innerrhoden;32.1;16733
17;St. Gallen;36.2;540036
18;Graubünden;39.9;206138
19;Aargau;33.4;735808
2;Bern;38.5;1071216
20;Thurgau;34.5;299509
21;Tessin;42.1;358903
22;Waadt;38.4;855106
23;Wallis;38.6;371288
24;Neuenburg;42.2;179518
25;Genf;38;531102
26;Jura;39;74840
3;Luzern;35.1;437944
4;Uri;34.1;38275
5;Schwyz;33.6;168931
6;Obwalden;34;39662
7;Nidwalden;34.3;45345
8;Glarus;37.1;42371
9;Zug;32.4;133739
